PassengerId,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Earth,Europa,Mars,True,55 Cancri e,PSO J318.5-22,TRAPPIST-1e,True,transported_True
0001_01,39.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0
0002_01,24.0,109.0,9.0,25.0,549.0,44.0,1,0,0,0,0,0,1,0,1
0003_01,58.0,43.0,3576.0,0.0,6715.0,49.0,0,1,0,0,0,0,1,1,0
0003_02,33.0,0.0,1283.0,371.0,3329.0,193.0,0,1,0,0,0,0,1,0,0
0004_01,16.0,303.0,70.0,151.0,565.0,2.0,1,0,0,0,0,0,1,0,1
0005_01,44.0,0.0,483.0,0.0,291.0,0.0,1,0,0,0,0,1,0,0,1
0006_01,26.0,42.0,1539.0,3.0,0.0,0.0,1,0,0,0,0,0,1,0,1
0007_01,35.0,0.0,785.0,17.0,216.0,0.0,1,0,0,0,0,0,1,0,1
0008_01,14.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,0,0,0,1
0008_03,45.0,39.0,7295.0,589.0,110.0,124.0,0,1,0,0,1,0,0,0,1
0009_01,32.0,73.0,0.0,1123.0,0.0,113.0,0,0,1,0,0,0,1,0,1
0010_01,48.0,719.0,1.0,65.0,0.0,24.0,1,0,0,0,0,0,1,0,0
0011_01,28.0,8.0,974.0,12.0,2.0,7.0,1,0,0,0,0,0,1,0,1
0015_01,24.0,0.0,1.0,0.0,0.0,637.0,1,0,0,0,1,0,0,0,0
0016_01,45.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,0,1
0017_01,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,1
0017_02,14.0,412.0,0.0,1.0,0.0,679.0,1,0,0,0,1,0,0,0,0
0020_01,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,0
0020_02,49.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,0
0020_04,10.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,1
0020_06,7.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0
0025_01,15.0,0.0,225.0,0.0,998.0,0.0,1,0,0,0,0,0,1,0,0
0026_01,34.0,22.0,6073.0,0.0,1438.0,328.0,0,1,0,0,1,0,0,0,0
0028_01,43.0,1125.0,0.0,136.0,48.0,0.0,0,0,1,0,0,0,1,0,0
0030_01,32.0,0.0,850.0,81.0,437.0,453.0,1,0,0,0,0,0,1,0,0
0031_01,47.0,214.0,0.0,1411.0,0.0,1229.0,0,0,1,0,0,0,1,0,1
0031_02,2.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,1
0034_01,28.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,0,0,0,1
0035_01,23.0,784.0,964.0,0.0,951.0,0.0,0,0,1,0,1,0,0,0,0
0038_01,20.0,554.0,195.0,0.0,2606.0,0.0,1,0,0,0,1,0,0,0,0
0041_01,17.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,1
0043_01,45.0,0.0,164.0,45.0,2511.0,855.0,0,1,0,0,0,0,1,0,0
0044_01,55.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,0
0044_02,4.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,1
0044_03,21.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,1
0045_01,21.0,970.0,0.0,180.0,0.0,64.0,0,0,1,0,0,0,1,0,0
0051_01,56.0,0.0,112.0,0.0,1379.0,127.0,1,0,0,0,0,0,1,0,0
0053_01,25.0,0.0,0.0,1938.0,0.0,1.0,1,0,0,0,0,0,1,0,1
0056_01,2.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,1
0056_02,38.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1
0056_03,27.0,279.0,605.0,3374.0,286.0,3.0,0,1,0,0,0,0,1,0,1
0058_01,36.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,0
0061_01,22.0,45.0,1096.0,148.0,1377.0,1.0,1,0,0,0,0,0,1,0,0
0062_01,62.0,0.0,592.0,0.0,17.0,25.0,1,0,0,0,0,0,1,0,0
0066_01,62.0,1.0,153.0,197.0,0.0,460.0,1,0,0,0,0,0,1,0,0
0067_01,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,1
0067_02,18.0,1.0,258.0,446.0,0.0,0.0,1,0,0,0,0,0,1,0,1
0067_03,21.0,1946.0,37.0,0.0,0.0,24.0,1,0,0,0,1,0,0,0,0
0070_01,19.0,190.0,0.0,5.0,1.0,726.0,1,0,0,0,0,0,1,0,0
0071_01,17.0,16.0,2165.0,0.0,0.0,52.0,1,0,0,0,0,0,1,0,0
0072_01,14.0,0.0,1.0,0.0,0.0,1063.0,1,0,0,0,0,0,1,0,0
0073_01,37.0,46.0,83.0,738.0,0.0,12.0,0,0,1,0,0,1,0,0,0
0074_01,42.0,1.0,8397.0,0.0,0.0,506.0,0,1,0,0,0,0,1,0,1
0076_01,27.0,147.0,0.0,1018.0,0.0,0.0,0,0,1,0,0,0,1,0,1
0077_01,28.0,14.0,0.0,1295.0,0.0,0.0,0,0,1,0,0,0,1,0,1
0078_01,38.0,0.0,5840.0,0.0,321.0,9654.0,0,1,0,0,0,0,1,0,0
0081_01,13.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,0
0082_01,42.0,7406.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0
0082_02,2.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,0,1
0084_01,24.0,688.0,0.0,0.0,0.0,17.0,1,0,0,0,0,0,1,0,1
0085_01,40.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1
0086_01,43.0,211.0,0.0,0.0,638.0,513.0,1,0,0,0,0,0,1,0,0
0088_01,45.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,1
0090_01,35.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,1
0091_02,27.0,1.0,697.0,31.0,188.0,0.0,1,0,0,0,0,0,1,0,0
0092_01,19.0,0.0,0.0,670.0,1.0,34.0,1,0,0,0,0,0,1,0,0
0092_03,3.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,1
0097_01,54.0,0.0,1208.0,0.0,3.0,637.0,0,1,0,0,0,0,1,0,0
0098_01,26.0,0.0,856.0,5.0,32.0,0.0,1,0,0,0,0,0,1,0,0
0098_02,26.0,0.0,2811.0,957.0,0.0,87.0,1,0,0,0,0,0,1,0,1
0099_01,23.0,311.0,427.0,526.0,37.0,0.0,1,0,0,0,0,1,0,0,0
0102_01,18.0,0.0,0.0,0.0,830.0,91.0,1,0,0,0,0,0,1,0,0
0103_02,9.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,1
0103_03,6.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,0
0107_01,21.0,1743.0,5.0,17.0,0.0,0.0,0,0,1,0,0,0,1,0,0
0108_01,23.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,0
0110_03,42.0,2209.0,11418.0,0.0,1868.0,445.0,0,1,0,0,0,0,1,0,1
0110_04,28.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1
0111_01,29.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1
0112_01,48.0,0.0,2537.0,87.0,17.0,13.0,0,1,0,0,1,0,0,1,1
0113_01,64.0,0.0,0.0,804.0,0.0,0.0,1,0,0,0,0,0,1,0,1
0114_01,27.0,82.0,157.0,429.0,238.0,1.0,1,0,0,0,0,0,1,0,0
0116_01,33.0,1.0,2223.0,0.0,12.0,404.0,0,1,0,0,0,0,1,0,1
0119_02,13.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1
0122_01,29.0,0.0,0.0,0.0,699.0,74.0,1,0,0,0,0,0,1,0,0
0123_01,18.0,55.0,597.0,49.0,0.0,1.0,1,0,0,0,0,0,1,0,0
0126_01,67.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,0,1
0127_01,35.0,701.0,0.0,296.0,0.0,25.0,0,0,1,0,0,0,1,0,0
0128_01,61.0,2353.0,334.0,9.0,316.0,2.0,0,0,1,0,0,0,1,1,0
0128_02,45.0,2103.0,6.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0
0133_01,19.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,0,1
0133_02,36.0,2738.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0
0134_01,19.0,0.0,14.0,730.0,0.0,0.0,1,0,0,0,0,0,1,0,1
0138_01,13.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,1
0139_01,35.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,0,0,0,1
0140_01,24.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,1
0140_02,26.0,440.0,0.0,0.0,0.0,462.0,1,0,0,0,0,0,1,0,0
0144_01,20.0,0.0,420.0,210.0,0.0,0.0,1,0,0,0,0,0,1,0,1
0146_01,56.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0
0147_01,50.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,1
0148_01,42.0,1072.0,0.0,10.0,0.0,76.0,0,0,1,0,0,0,1,0,0
0151_01,38.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,0
0160_01,22.0,4119.0,0.0,0.0,0.0,61.0,1,0,0,0,0,0,1,0,0
0163_01,26.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1
0163_02,17.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1
0164_02,17.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,0
0167_01,13.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,0,1
0167_02,27.0,1365.0,0.0,48.0,22.0,137.0,0,0,1,0,0,0,1,0,0
0169_01,31.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,0
0170_01,24.0,0.0,0.0,0.0,221.0,567.0,1,0,0,0,0,0,1,0,0
0171_01,19.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,1
0172_01,32.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,1
0174_01,21.0,287.0,0.0,16.0,115.0,175.0,1,0,0,0,1,0,0,0,0
0177_01,38.0,0.0,10346.0,1.0,14970.0,2111.0,0,1,0,0,0,0,1,0,0
0178_01,38.0,3414.0,0.0,161.0,28.0,119.0,0,0,1,0,0,0,1,0,0
0179_01,19.0,1.0,219.0,673.0,2.0,11.0,1,0,0,0,0,0,1,0,1
0179_02,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0
0179_03,3.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,1
0181_01,20.0,0.0,0.0,3.0,299.0,92.0,1,0,0,0,0,0,1,0,0
0182_01,24.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1
0183_01,37.0,17.0,146.0,426.0,0.0,232.0,1,0,0,0,0,0,1,0,1
0186_01,25.0,62.0,0.0,0.0,0.0,956.0,1,0,0,0,0,0,1,0,0
0188_01,56.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,1
0189_01,49.0,84.0,3.0,401.0,202.0,98.0,1,0,0,0,1,0,0,0,0
0192_01,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,1
0192_02,8.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0
0192_03,39.0,0.0,0.0,10.0,898.0,0.0,1,0,0,0,0,0,1,0,0
0193_01,2.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,0,1
0193_03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,1
0195_01,39.0,406.0,0.0,867.0,0.0,0.0,0,0,1,0,0,0,1,0,1
0196_01,25.0,1052.0,0.0,719.0,0.0,7.0,0,0,1,0,0,1,0,0,0
0197_01,36.0,0.0,972.0,0.0,795.0,575.0,0,1,0,0,0,0,1,0,0
0199_01,18.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,0
0200_01,15.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,1
0201_01,35.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1
0201_02,47.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1
0202_01,45.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,0,0,0,1
0203_01,51.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1
0205_01,29.0,0.0,2.0,66.0,0.0,705.0,1,0,0,0,0,0,1,0,0
0207_01,19.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,0
0211_01,29.0,902.0,1.0,137.0,0.0,0.0,0,0,1,0,0,0,1,0,1
0211_02,11.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,0,1
0211_03,17.0,848.0,0.0,307.0,182.0,0.0,0,0,1,0,0,0,1,0,0
0212_01,13.0,192.0,0.0,0.0,51.0,739.0,1,0,0,0,0,0,1,0,0
0212_02,35.0,147.0,188.0,0.0,10.0,387.0,1,0,0,0,0,0,1,0,0
0213_01,21.0,367.0,281.0,0.0,0.0,146.0,1,0,0,0,0,0,1,0,0
0216_01,21.0,0.0,56.0,0.0,0.0,1918.0,1,0,0,0,1,0,0,0,0
0217_01,38.0,1517.0,0.0,0.0,27.0,0.0,1,0,0,0,0,0,1,0,0
0219_01,19.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,1
0220_01,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,1
0220_02,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,1
0220_03,13.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,0
0220_05,16.0,0.0,3.0,0.0,0.0,1099.0,1,0,0,0,0,0,1,0,0
0220_06,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0
0220_07,15.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,1
0221_01,21.0,2237.0,0.0,119.0,0.0,0.0,0,0,1,0,1,0,0,0,0
0221_02,23.0,1215.0,80.0,1.0,2.0,0.0,0,0,1,0,0,0,1,0,0
0221_03,33.0,1933.0,12.0,188.0,1.0,0.0,0,0,1,0,0,0,1,0,0
0221_04,21.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,0,1
0221_05,41.0,1230.0,0.0,301.0,43.0,1023.0,0,0,1,0,0,0,1,0,0
0221_06,16.0,915.0,0.0,221.0,234.0,0.0,0,0,1,0,0,0,1,0,0
0221_07,42.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,0,0
0222_01,20.0,1406.0,0.0,0.0,11.0,0.0,0,0,1,0,0,0,1,0,0
0222_02,24.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,0,1
0222_03,16.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,0,1
0223_01,21.0,0.0,2.0,665.0,0.0,9.0,1,0,0,0,0,0,1,0,0
0224_01,32.0,181.0,0.0,5.0,1634.0,0.0,0,0,1,0,0,0,1,1,0
0225_01,58.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,1
0229_01,24.0,4.0,7.0,0.0,713.0,79.0,1,0,0,0,0,0,1,0,0
0231_01,30.0,85.0,0.0,1.0,1720.0,0.0,0,0,1,0,0,0,1,0,0
0233_01,32.0,56.0,0.0,256.0,1438.0,0.0,0,0,1,0,0,0,1,0,0
0237_01,42.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1
0240_01,35.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,0,1
0243_01,21.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,0
0245_01,46.0,0.0,3571.0,0.0,0.0,7.0,0,1,0,0,1,0,0,0,1
0245_02,33.0,0.0,86.0,796.0,584.0,10912.0,0,1,0,0,0,0,1,0,0
0246_01,21.0,2947.0,0.0,287.0,27.0,0.0,0,0,1,0,0,0,1,0,0
0248_01,33.0,0.0,1.0,0.0,8620.0,1063.0,0,1,0,0,0,0,1,0,0
0252_01,30.0,335.0,695.0,541.0,0.0,0.0,1,0,0,0,0,0,1,0,0
0253_01,29.0,272.0,615.0,0.0,0.0,1.0,1,0,0,0,0,0,1,0,0
0254_01,21.0,702.0,172.0,408.0,2.0,6.0,1,0,0,0,0,0,1,0,1
0255_01,24.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1
0257_02,60.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,0,1
0258_01,22.0,0.0,0.0,313.0,299.0,92.0,1,0,0,0,0,0,1,0,0
0260_01,26.0,0.0,4810.0,0.0,981.0,2054.0,0,1,0,0,0,0,1,0,0
